UnitID,Institution Name,Value of endowment assets at the end of the fiscal year (F1819_F2_RV),Value of endowment assets at the beginning of the fiscal year (F1819_F2_RV),12-month full-time equivalent enrollment: 2018-19 (DRVEF122019_RV),City location of institution (HD2018),State abbreviation (HD2018),ZIP code (HD2018),County name (HD2018),Core Based Statistical Area (CBSA) (HD2018)
223232,Baylor University,1322822000,1310781000,17766,Waco,TX,76798,McLennan County,47380
139144,Berry College,1065939679,985123513,2027,Mount Berry,GA,30149,Floyd County,40660
164924,Boston College,2433821107,2515666637,13545,Chestnut Hill,MA,2467,Middlesex County,14460
164988,Boston University,2311388000,2143074000,34942,Boston,MA,2215,Suffolk County,14460
165015,Brandeis University,1073525868,1046386225,6967,Waltham,MA,02454-9110,Middlesex County,14460
217156,Brown University,3976694000,3603848000,10031,Providence,RI,2912,Providence County,39300
211273,Bryn Mawr College,888153000,897236000,1790,Bryn Mawr,PA,19010,Montgomery County,37980
173258,Carleton College,892352800,878493998,2005,Northfield,MN,55057-4001,Rice County,22060
211440,Carnegie Mellon University,1983601568,1872190873,16386,Pittsburgh,PA,15213-3890,Allegheny County,38300
190099,Colgate University,934425860,923604266,3030,Hamilton,NY,13346-1398,Madison County,45060
190150,Columbia University in the City of New York,10950738000,10869245000,30411,New York,NY,10027,New York County,35620
198419,Duke University,8609004000,8524846000,17336,Durham,NC,27708,Durham County,20500
131469,George Washington University,1778559000,1798810000,23629,Washington,DC,20052,District of Columbia,47900
153384,Grinnell College,2069953000,1991605000,1691,Grinnell,IA,50112-1690,Poweshiek County,
191515,Hamilton College,1017291000,1012841000,2007,Clinton,NY,13323,Oneida County,46540
166027,Harvard University,40929700000,39233736000,27959,Cambridge,MA,2138,Middlesex County,14460
145646,Illinois Wesleyan University,213947527,233815113,1690,Bloomington,IL,61702-2900,McLean County,14010
153603,Iowa State University,1056849022,1017089489,32666,Ames,IA,50011-2103,Story County,11180
162928,Johns Hopkins University,6275939000,4190520000,25344,Baltimore,MD,21218-2688,Baltimore City,12580
232557,Liberty University,1587918559,1432964225,68719,Lynchburg,VA,24515,Lynchburg City,31340
193900,New York University,4219660090,4222210163,51743,New York,NY,10012-1091,New York County,35620
147767,Northwestern University,8244818000,8386918000,20172,Evanston,IL,60208,Cook County,16980
204501,Oberlin College,984675368,947148504,3145,Oberlin,OH,44074,Lorain County,17460
121150,Pepperdine University,917550000,904142000,9035,Malibu,CA,90263,Los Angeles County,31080
243780,Purdue University-Main Campus,2539232072,2336955139,43740,West Lafayette,IN,47907-2040,Tippecanoe County,29200
195003,Rochester Institute of Technology,957232000,938162000,13656,Rochester,NY,14623-5603,Monroe County,40380
186380,Rutgers University-New Brunswick,1130228000,1015059000,48930,New Brunswick,NJ,08901-1281,Middlesex County,35620
167835,Smith College,1913252543,1875092651,3076,Northampton,MA,1063,Hampshire County,44140
399911,Soka University of America,1270123000,1275811000,458,Aliso Viejo,CA,92656-8081,Orange County,31080
216287,Swarthmore College,2131553000,2115768000,1629,Swarthmore,PA,19081,Delaware County,37980
228875,Texas Christian University,1620665000,1595949000,10561,Fort Worth,TX,76129,Tarrant County,19100
192110,The Juilliard School,1103571702,1106640097,1085,New York,NY,10023-6588,New York County,35620
216366,Thomas Jefferson University,954177000,932897000,8010,Philadelphia,PA,19107,Philadelphia County,37980
104179,University of Arizona,1038132869,959631702,42681,Tucson,AZ,85721-0066,Pima County,46060
110662,University of California-Los Angeles,2255362000,2125752000,46291,Los Angeles,CA,90095-1405,Los Angeles County,31080
110699,University of California-San Francisco,1602091000,1432799000,3020,San Francisco,CA,94143-0244,San Francisco County,41860
144050,University of Chicago,7244602984,7009011789,16572,Chicago,IL,60637,Cook County,16980
130943,University of Delaware,1466069934,1413197459,23206,Newark,DE,19716,New Castle County,37980
145637,University of Illinois Urbana-Champaign,1772257725,1578168669,53117,Champaign,IL,61820-5711,Champaign County,16580
174066,University of Minnesota-Twin Cities,3714675514,3500753156,49572,Minneapolis,MN,55455-0213,Hennepin County,33460
207971,University of Tulsa,1129458000,1114621000,4197,Tulsa,OK,74104-3189,Tulsa County,46140
230764,University of Utah,1080567000,1051841000,29474,Salt Lake City,UT,84112-9008,Salt Lake County,41620
236948,University of Washington-Seattle Campus,3699979065,3534519141,54277,Seattle,WA,98195-4550,King County,42660
233921,Virginia Polytechnic Institute and State University,1348500000,1136900000,35796,Blacksburg,VA,24061-0131,Montgomery County,13980
199847,Wake Forest University,1375398000,1339003000,8578,Winston-Salem,NC,27106,Forsyth County,49180
234207,Washington and Lee University,1676308000,1603114000,2084,Lexington,VA,24450-2116,Lexington City,
236939,Washington State University,1068763239,1024300681,29846,Pullman,WA,99164-5910,Whitman County,39420
179867,Washington University in St Louis,8130483000,7687392000,16323,Saint Louis,MO,63130-4899,St. Louis County,41180
231624,William & Mary,995873958,935543672,8550,Williamsburg,VA,23187-8795,Williamsburg City,47260
130794,Yale University,30314816000,29444936000,16245,New Haven,CT,6520,New Haven County,35300